Ticket Number,Date,Application,Subject,Description,Steps Taken,Proposed Fix,ErrorNo
TK1448,8/29/2020,SP_HR_ATT,Error No ERRHRA0111,Error No ERRHRA0111,Analyzed overtime rules,Adjusted rules to resolve error,
TK1449,23/03/20,SP_PYR,Error No ERRPYR0222,Error No ERRPYR0222,Checked database settings and report parameters,Applied latest payroll patch Issue resolved ,
TK1450,28/04/20,SP_PYR,Error No ERRPYR0111,Error No ERRPYR0111,Analyzed report configurations and parameters,Applied latest payroll patch Issue resolved ,
TK1451,3/6/2020,SP_PYR,Error No ERRPYR0453,Error No ERRPYR0453,Verified database and report settings,Applied latest payroll patch Issue resolved ,
TK1452,1/1/2021,SP_SRM,Error No ERRSRM0666,Error No ERRSRM0666,Verified user access,Assigned user access to update supplier financial information.,
TK1453,2/6/2021,SP_SRM,Error No ERRSRM0567,Error No ERRSRM0567,Checked data integrity,Corrected data integrity to show correct supplier data.,
TK1454,11/3/2020,SP_CRM,Error No ERRCRM0667,Error No ERRCRM0667,Checked database for duplicates,Duplicates were removed and database was updated.,
TK1455,1/10/2021,SP_CRM,Error No ERRCRM0123,Error No ERRCRM0123,Checked user permissions,User permissions were adjusted and user was able to log in.,
TK1456,5/9/2020,SP_CRM,Error No ERRCRM0456,Error No ERRCRM0456,Verified customer information,Resolved error and created customer profile.,
TK1457,5/27/2020,SP_CRM,Error No ERRCRM0125,Error No ERRCRM0125,Verified customer information,Resolved error and generated customer profile.,
TK1458,6/14/2020,SP_CRM,Error No ERRCRM0112,Error No ERRCRM0112,Verified customer information,Resolved error and generated customer sales history.,
TK1459,6/15/2020,SP_CRM,Error No ERRCRM0657,Error No ERRCRM0657,Verified customer information,Provided customer analysis report to user.,
TK1460,6/18/2020,SP_CRM,Error No ERRCRM0888,Error No ERRCRM0888,Verified customer information,Resolved error and created customer purchase history.,
TK1461,7/2/2020,SP_CRM,Error No ERRCRM0765,Error No ERRCRM0765,Verified customer information,Resolved error and generated customer order.,
TK1462,7/20/2020,SP_CRM,Error No ERRCRM0998,Error No ERRCRM0998,Verified customer information,Resolved error and generated customer contact information.,
TK1463,7/28/2020,SP_CRM,Error No ERRCRM0776,Error No ERRCRM0776,Checked customer account information,Resolved error and customer account information was successfully deleted.,
TK1464,7/29/2020,SP_GEN,I am not able to login to my  system.,I am not able to login to my  system.,Process  check,Login page ,
TK1465,7/30/2020,SP_GEN,How to reset the password?,How to reset the password?,Process  check,Password reset page,
TK1466,7/31/2020,SP_GEN,What is my  login ID?,What is my  login ID?,Process  check,login ID page,
TK1467,8/1/2020,SP_GEN,How do I create new user?,How do I create new user?,Process  check,Create user/Subscription page,
TK1468,8/2/2020,SP_GEN,Where can I check which email I used for subscription,Where can I check which email I used for subscription,Process  check,Email settings page,
TK1469,8/3/2020,SP_GEN,How can I subscribe to this application?,How can I subscribe to this application?,Process  check,Subscription page,
TK1470,8/4/2020,SP_GEN,How To renew the subscription?,How To renew the subscription?,Process  check,Subscription renewal page,
TK1471,8/5/2020,SP_GEN,How many users are supported per subscription?,How many users are supported per subscription?,Process  check,Per subscription limit for users,
TK1472,8/6/2020,SP_GEN,How many devices are supported per subscription?,How many devices are supported per subscription?,Process  check,Per subscription limit for devices,
TK1473,8/7/2020,SP_GEN,Can same subscription work in different geographical locations?,Can same subscription work in different geographical locations?,Process  check,Supported regions,
TK1474,8/8/2020,SP_GEN,What devices the application supports?,What devices the application supports?,Process  check,"Environment details: The application is supported on IOS (2.0, 5.3,6.4, 9.1)and Androids(10.1,10.2,13.5,13.6,15.1)",
TK1475,8/9/2020,SP_GEN,How can I upgrade my plan to premium?,How can I upgrade my plan to premium?,Process  check,Subscription plans page,
TK1476,8/10/2020,SP_GEN,Can I change the plan I am using currently?,Can I change the plan I am using currently?,Process  check,Subscription plans page,
TK1477,8/11/2020,SP_GEN,"The ABT001 application is not loading, though I have internet connection.","The ABT001 application is not loading, though I have internet connection.",Process  check,Troubleshoot page,
TK1478,8/12/2020,SP_GEN,What are the current offers?,What are the current offers?,Process  check,Offer page,
TK1479,8/13/2020,SP_GEN,How to revoke access?,How to revoke access?,Process  check,Subcription revoke page,
TK1480,8/14/2020,SP_GEN,Issue with update on application center.,Issue with update on application center.,Process  check,Application Center,
TK1481,8/15/2020,SP_GEN,Issue with pricing page,Issue with pricing page,Process  check,FIN(Finance),
TK1482,8/16/2020,SAP_HANA,Error when updating price for SAP-ONE onSAP S/4HANA,Error when updating price for SAP-ONE onSAP S/4HANA,Process  check,SAP S/4HANA,
TK1483,8/17/2020,SAP_HANA,Error when updating price on SAP S/4HANA ,Error when updating price on SAP S/4HANA ,Process  check,SAP S/4HANA,
TK1484,8/18/2020,SAP_HANA,Error when updating price for GROW on cloud ERP,Error when updating price for GROW on cloud ERP,Process  check,ERP,
TK1485,8/19/2020,SAP_HANA,Error when updating price for GR/IR  on SAP S/4HANA,Error when updating price for GR/IR  on SAP S/4HANA,Process  check,SAP S/4HANA,
TK1486,8/20/2020,SAP_HANA,Unable to add new project under Finance on SAP S/4HANA,Unable to add new project under Finance on SAP S/4HANA,Process  check,SAP S/4HANA,
TK1487,8/21/2020,SAP_HANA,Issue when adding new project in PSA(Professional Service Automation),Issue when adding new project in PSA(Professional Service Automation),Process  check,PSA,
TK1488,8/22/2020,SAP_HANA,Issue when adding new proposal in procurement,Issue when adding new proposal in procurement,Process  check,Procurement,
TK1489,8/23/2020,SAP_CIAM,"Activate customer in ""SAP Customer Identity and Access Management (CIAM) for B2C"" page","Activate customer in ""SAP Customer Identity and Access Management (CIAM) for B2C"" page",Process  check,SAP customer data cloud,
TK1490,8/24/2020,SAP_CIAM,"Deactivate customer in ""SAP Customer Identity and Access Management (CIAM) for B2C"" page","Deactivate customer in ""SAP Customer Identity and Access Management (CIAM) for B2C"" page",Process  check,SAP customer data cloud,
TK1491,8/25/2020,SAP_CIAM,Issue while editing SAP Customer Data Platform,Issue while editing SAP Customer Data Platform,Process  check,SAP customer data cloud,
TK1492,8/26/2020,SAP_CIAM,Issue while editing in CIAM,Issue while editing in CIAM,Process  check,CIAM,
TK1493,8/27/2020,SAP_CIAM,Issue while editing Preferenced Management,Issue while editing Preferenced Management,Process  check,CIAM,
TK1494,8/28/2020,SAP_CIAM,Error when editing in SAP Customer Identity and Access Management (CIAM) for B2B page,Error when editing in SAP Customer Identity and Access Management (CIAM) for B2B page,Process  check,CIAM,
TK1495,8/29/2020,SAP_BTP,Error when importing grpah in SAP BTP,Error when importing grpah in SAP BTP,Process  check,SAP BTP,
TK1496,8/30/2020,SAP_FIN,"Error when editing ""Financial and Analysis Planning"" page","Error when editing ""Financial and Analysis Planning"" page",Process  check,FIN(Finance),
TK1497,8/31/2020,SAP_FIN,we have a strange issue with some old carts in our hybris system (version 5.x),we have a strange issue with some old carts in our hybris system (version 5.x),Process  check,SAP Commerce Cloud,
TK1498,9/1/2020,SAP_SAC,"In SAC, I am trying to create a calculated measure, but the required components of this measure are not available","In SAC, I am trying to create a calculated measure, but the required components of this measure are not available",Process  check,Wrong Sum,
TK1499,9/2/2020,SAP_SAC,Projection calculation disabled; no projections calculated for contact,Projection calculation disabled; no projections calculated for contact,Process  check,Returning does In Match,
TK1500,9/3/2020,SAP_SAC,why there need cross calculation if we can create calculation for measure and dimension?,why there need cross calculation if we can create calculation for measure and dimension?,Process  check,Calculation error,
TK1501,9/4/2020,SAP_FIORI,Does FIORI require customization?,Does FIORI require customization?,Process  check,reconsilation difference,
TK1502,9/5/2020,SAP_FIORI,Where to start FIORI for S4Hana as an SAP FIORI Developer,Where to start FIORI for S4Hana as an SAP FIORI Developer,Process  check,reconsilation difference,
TK1503,9/6/2020,SAP_FIORI,How-to Setup a Fiori Tile Using WebIDE,How-to Setup a Fiori Tile Using WebIDE,Process  check,FIORI,
TK1504,9/7/2020,SAP_FIORI,Fiori Launchpad Usage Analytics I'm trying to track the end-user usages on Fiori Launchpad.,Fiori Launchpad Usage Analytics I'm trying to track the end-user usages on Fiori Launchpad.,Process  check,FIORI,
TK1505,9/8/2020,SAP_FIORI,"Non-English characters in the names are displayed as ""?""","Non-English characters in the names are displayed as ""?""",Process  check,Rendering issue,
TK1506,9/9/2020,SP_ABAP,"Hi expert, I want to display an internal table on screen - ABAP development","Hi expert, I want to display an internal table on screen - ABAP development",Process  check,ABAP,
TK1507,9/10/2020,SP_ABAP,is there any function that displays all class based exceptions in a hierarchy?  - ABAP development,is there any function that displays all class based exceptions in a hierarchy?  - ABAP development,Process  check,ABAP,
TK1508,9/11/2020,SP_ABAP,Customer's incidents and systems not displayed in SAP for Me,Customer's incidents and systems not displayed in SAP for Me,Process  check,ABAP,
TK1509,9/12/2020,SP_ABAP,data is not displaying How to display the data in smartforms? - ABAP development,data is not displaying How to display the data in smartforms? - ABAP development,Process  check,ABAP,
TK1510,9/13/2020,SP_ABAP,I Can't Publish a Product in API Management,I Can't Publish a Product in API Management,Process  check,Details using In Code,
TK1511,9/14/2020,SP_ABAP,Does anyone know of any good guides/best practices detailing how to version control APIs in API Management,Does anyone know of any good guides/best practices detailing how to version control APIs in API Management,Process  check,Barcode,
TK1512,9/15/2020,SP_ABAP,Missing buttons in API MANAGEMENT,Missing buttons in API MANAGEMENT,Process  check,API Management,
TK1513,9/16/2020,SP_ABAP, I tried to create an API using the HCP API Management API Portal but it gives me an error, I tried to create an API using the HCP API Management API Portal but it gives me an error,Process  check,API Management,
TK1514,9/17/2020,SP_ABAP,Has API Management has a limit for HTTP request sizes.,Has API Management has a limit for HTTP request sizes.,Process  check,Process information,
TK1515,9/18/2020,SP_ABAP,RaiseFault error while consuming sap API managment API service.,RaiseFault error while consuming sap API managment API service.,Process  check,Process information,
TK1516,9/19/2020,SP_ABAP,"Duplicate dimension, despite no duplication","Duplicate dimension, despite no duplication",Process  check,Process information,
TK1517,9/20/2020,SP_ABAP,How do I check for duplicate sales orders in SAP that has already been delivered.,How do I check for duplicate sales orders in SAP that has already been delivered.,Process  check,Process information,
TK1518,9/21/2020,SP_ABAP,CMSLinkComponent created duplicate twice/duplicate on staging.,CMSLinkComponent created duplicate twice/duplicate on staging.,Process  check,Process information,
TK1519,9/22/2020,SP_ABAP,AP Duplicate Message,AP Duplicate Message,Process  check,Process information,
TK1520,9/23/2020,SP_ABAP, I want to remove the duplicate ID's that i get as a result of DuplicateIdentifier Search, I want to remove the duplicate ID's that i get as a result of DuplicateIdentifier Search,Process  check,Process information,
TK1521,9/24/2020,SP_ABAP,Is there any infotype to store info on visa details?,Is there any infotype to store info on visa details?,Process  check,Process information,
TK1522,9/25/2020,SP_ABAP,I have a assignement to test the VISA processing in ess and mss .,I have a assignement to test the VISA processing in ess and mss .,Process  check,Process information,
TK1523,9/26/2020,SP_ABAP,"How to maintain ""VISA"" as a material","How to maintain ""VISA"" as a material",Process  check,MM(Material Management),
TK1524,9/27/2020,SP_ABAP,How to access Visa & Permits Management queries in SAC?,How to access Visa & Permits Management queries in SAC?,Process  check,HCM(Human Capital Management),
TK1525,9/28/2020,SP_ABAP,i want to store visa expiry date. we use 0094 infotype for passport details.,i want to store visa expiry date. we use 0094 infotype for passport details.,Process  check,MM(Material Management),
TK1526,9/29/2020,SP_ABAP,Does SAP support VISA or Master card payment systems directly without the use of a point to sale system ?,Does SAP support VISA or Master card payment systems directly without the use of a point to sale system ?,Process  check,Process information,
TK1527,9/30/2020,SP_ABAP,Transfer of Credit Card Transactions (VISA),Transfer of Credit Card Transactions (VISA),Process  check,Process information,
TK1528,10/1/2020,SP_ABAP,When I am doing Quota arrangement and save this document this runtime error is come. ,When I am doing Quota arrangement and save this document this runtime error is come. ,Process  check,Process information,
TK1529,10/2/2020,SP_ABAP,why this runtime error has occured ie which data entered by me caused this error.,why this runtime error has occured ie which data entered by me caused this error.,Process  check,Process information,
TK1530,10/3/2020,SP_ABAP, i am developing a report and when i execute it gives me runtime error. the runtime error is:Error in the module RSQL accessing the database, i am developing a report and when i execute it gives me runtime error. the runtime error is:Error in the module RSQL accessing the database,Process  check,Process information,
TK1531,10/4/2020,SP_ABAP,"I am facing DUMP runtime error while creating Purchase order,Error states that , ""The current application program detected a duplicate entry","I am facing DUMP runtime error while creating Purchase order,Error states that , ""The current application program detected a duplicate entry",Process  check,Process information,
TK1532,10/5/2020,SP_ABAP, i am developing a report and when i execute it gives me runtime error. the runtime error is:Error in the module RSQL accessing the database, i am developing a report and when i execute it gives me runtime error. the runtime error is:Error in the module RSQL accessing the database,Process  check,Process information,
TK1533,10/6/2020,SP_ABAP, it comes runtime error: DYNPRO_FIELD_CONVERSION when double click date in t-code: MEQ1 2., it comes runtime error: DYNPRO_FIELD_CONVERSION when double click date in t-code: MEQ1 2.,Process  check,Process information,
TK1534,10/7/2020,SP_ABAP,In our company we are all getting the following two runtime errors 1. SYSTEM_NO_TASK_STORAGE 2.,In our company we are all getting the following two runtime errors 1. SYSTEM_NO_TASK_STORAGE 2.,Process  check,Process information,
TK1535,10/8/2020,SP_ABAP,upon successful certification test I have received invitation  to log into SAP Credential Manager.,upon successful certification test I have received invitation  to log into SAP Credential Manager.,Process  check,Process information,
TK1536,10/9/2020,SP_ABAP,Unable to Log-in my Credential Manager,Unable to Log-in my Credential Manager,Process  check,Process information,
TK1537,10/10/2020,SP_ABAP,How much is the SCP Credential Store?,How much is the SCP Credential Store?,Process  check,Process information,
TK1538,10/11/2020,SP_ABAP,We are in process of implementing the gCTS credential Store,We are in process of implementing the gCTS credential Store,Process  check,Process information,
TK1539,10/12/2020,SP_ABAP,I want to pass the credential name depending on other criterias and all credentials exist in the credential store.,I want to pass the credential name depending on other criterias and all credentials exist in the credential store.,Process  check,Process information,
TK1540,10/13/2020,SP_ABAP, Meeting should not be create for the bp suspect., Meeting should not be create for the bp suspect.,Process  check,Process information,
TK1541,10/14/2020,SP_ABAP,Not able to Change Time of Meeting Invite ,Not able to Change Time of Meeting Invite ,Process  check,New Meeting,
TK1542,10/15/2020,SP_ABAP,Error loading webview loading Sap Business Application Studio,Error loading webview loading Sap Business Application Studio,Process  check,Loading error,
TK1543,10/16/2020,SP_ABAP,Error while loading related objects SAC,Error while loading related objects SAC,Process  check,Loading error,
TK1544,10/17/2020,SP_ABAP,i am getting error in CO initial load -Cannot split management accounting line items. Its FINS_CO_MESSAGE341.,i am getting error in CO initial load -Cannot split management accounting line items. Its FINS_CO_MESSAGE341.,Process  check,Loading error,
TK1545,10/18/2020,SP_ABAP,"Hi When i run the load into the master data objects its fails.Errror message in status tab is ""A caller 01, 02 or equal to or greater than 20","Hi When i run the load into the master data objects its fails.Errror message in status tab is ""A caller 01, 02 or equal to or greater than 20",Process  check,Loading error,
TK1546,10/19/2020,SP_ABAP,"Full Load and DElta Load Error Hi Guys, I am trying to load data in DSO.","Full Load and DElta Load Error Hi Guys, I am trying to load data in DSO.",Process  check,Loading error,
TK1547,10/20/2020,SP_ABAP, I see the following error: Failed to load resource http://hana_server_name, I see the following error: Failed to load resource http://hana_server_name,Process  check,Loading error,
TK1548,10/21/2020,SP_ABAP,"SAC Error - Comments were not loaded Hello when i run the sac application an error ""Comments were not saved. Try again.","SAC Error - Comments were not loaded Hello when i run the sac application an error ""Comments were not saved. Try again.",Process  check,Loading error,
TK1549,10/22/2020,SP_ABAP,"Error Loading Fonts I just installed SAP B1 2007 client on a laptop and whn I try to launch the application, I rececive the message ""Error Loading Fonts","Error Loading Fonts I just installed SAP B1 2007 client on a laptop and whn I try to launch the application, I rececive the message ""Error Loading Fonts",Process  check,Loading error,
TK1550,10/23/2020,SP_ABAP,loading errors! My Int data load for a BW stat cube got failed with error 'caller 70' is missing. This is a production issues.,loading errors! My Int data load for a BW stat cube got failed with error 'caller 70' is missing. This is a production issues.,Process  check,Loading error,
TK1551,10/24/2020,SP_ABAP,Loading errors hi i m trying to load data into the cube using a full update. and i get errors(RED) Request still running Diagnosis No errors could be found,Loading errors hi i m trying to load data into the cube using a full update. and i get errors(RED) Request still running Diagnosis No errors could be found,Process  check,New Customer,
TK1552,10/25/2020,SP_ABAP,professional certification for sales and distribution,professional certification for sales and distribution,Process  check,Delete Customer,
TK1553,10/26/2020,SP_ABAP,How to appear cirtification exam directly ?,How to appear cirtification exam directly ?,Process  check,Customer usind In Id,
TK1554,10/27/2020,SP_ABAP,"Tell me the process to get cirtification from TechEd Hi, I am having 1.5 yr exp in ABAP Can I get ABAP certification in TechEd ?","Tell me the process to get cirtification from TechEd Hi, I am having 1.5 yr exp in ABAP Can I get ABAP certification in TechEd ?",Process  check,Inventory Page,
TK1555,10/28/2020,SP_ABAP, Can anybody help me and tell me where i can find bases certification practice exams., Can anybody help me and tell me where i can find bases certification practice exams.,Process  check,Distribution Page,
TK1556,10/29/2020,SP_ABAP,wanted adivce and suggestions whether this IBM certification can help in in future CAREER wrt SAP Pl guide,wanted adivce and suggestions whether this IBM certification can help in in future CAREER wrt SAP Pl guide,Process  check,Warehouse Page,
TK1557,10/30/2020,SP_ABAP,what is meant by roles and responsibility which has to be given to the basis guy. how can i define that,what is meant by roles and responsibility which has to be given to the basis guy. how can i define that,Process  check,Change Role?,
TK1558,10/31/2020,SP_ABAP, I want to know about the Daily Responsibilities of sap Fi consultant(k3/k4) in supporting projects Former Member, I want to know about the Daily Responsibilities of sap Fi consultant(k3/k4) in supporting projects Former Member,Process  check,Changing Role,
TK1559,11/1/2020,SP_ABAP, Pls tell me the Roles and Responsibilities of  SAP BO?, Pls tell me the Roles and Responsibilities of  SAP BO?,Process  check,Freight ,
TK1560,11/2/2020,SP_ABAP,let me know the roles and responsibilities of a functional consultant and Technical Consultant.,let me know the roles and responsibilities of a functional consultant and Technical Consultant.,Process  check,Shipping ,
TK1561,11/3/2020,SP_ABAP,What are the Roles and Responsibilities for Functional consultants in IC Web Client in CRM 5.0 and 2007?,What are the Roles and Responsibilities for Functional consultants in IC Web Client in CRM 5.0 and 2007?,Process  check,Delivery ,
TK1562,11/4/2020,SP_ABAP,"Can I download template SAP Security Roles and Responsibilities of functional modules like (PP, MMp)","Can I download template SAP Security Roles and Responsibilities of functional modules like (PP, MMp)",Process  check,Cancel ,
TK1563,11/5/2020,SP_ABAP,How to cancel an invoice document whose cancellation document was canceled by mistake F128,How to cancel an invoice document whose cancellation document was canceled by mistake F128,Process  check,Cancel ,
TK1564,11/6/2020,SP_ABAP,How can i cancel to vf41 canceled doc ?,How can i cancel to vf41 canceled doc ?,Process  check,Cancel ,
TK1565,11/7/2020,SP_ABAP,Is there a way to cancel idocs cancellations ?,Is there a way to cancel idocs cancellations ?,Process  check,Cancel ,
TK1566,11/8/2020,SP_ABAP,"Hi, How could I cancel a ""Cancel Accounting"" that I made through ""MR11""?","Hi, How could I cancel a ""Cancel Accounting"" that I made through ""MR11""?",Process  check,Freight ,
TK1567,11/9/2020,SP_ABAP,"Please anyone let me know how to cancel a Job, this scheduled job running in BODS Management Console.","Please anyone let me know how to cancel a Job, this scheduled job running in BODS Management Console.",Process  check,Shipping ,
TK1568,11/10/2020,SP_ABAP,We are currently facing an issue with the cancellation of production order confirmation.,We are currently facing an issue with the cancellation of production order confirmation.,Process  check,Delivery Request,
TK1569,11/11/2020,SP_ABAP,Cancellation of proforma invoice,Cancellation of proforma invoice,Process  check,SD sales,
TK1570,11/12/2020,SP_ABAP,Error while cancelling shipping request,Error while cancelling shipping request,Process  check,Shipping Request,
TK1571,11/13/2020,SP_ABAP,"Does anybody have the step by step configuration guide for Shipping, Transportation & Shipment Cost Calculation","Does anybody have the step by step configuration guide for Shipping, Transportation & Shipment Cost Calculation",Process  check,Shipping and receiving,
TK1572,11/14/2020,SP_ABAP,"I would like to assign shipping points to shipping condition, loading group and plant in CBC activity","I would like to assign shipping points to shipping condition, loading group and plant in CBC activity",Process  check,LE Shipping,
TK1573,11/15/2020,SP_ABAP,Where can i see ship from location and ship to location in a purchase order.,Where can i see ship from location and ship to location in a purchase order.,Process  check,Material Management,
TK1574,11/16/2020,SP_ABAP,Is there a transaction code to request a report that shows what item shipped to a certain ship to address,Is there a transaction code to request a report that shows what item shipped to a certain ship to address,Process  check,Sales and Distribution,
TK1575,11/17/2020,SP_ABAP,"can anyone explain step by step with the transaction code ,full configuration of shipping in sd module except shipping cost","can anyone explain step by step with the transaction code ,full configuration of shipping in sd module except shipping cost",Process  check,Sales and Distribution,
TK1576,11/18/2020,SP_ABAP,I have a lot of KMATs and I want to get the list which can display all the KMATs with inconsistent error,I have a lot of KMATs and I want to get the list which can display all the KMATs with inconsistent error,Process  check,PLM Variant Configuration,
TK1577,11/19/2020,SP_ABAP,I saw many posts that opined changing values will result in Inconsistencies. Any suggestion to reduce these inconsistencies.,I saw many posts that opined changing values will result in Inconsistencies. Any suggestion to reduce these inconsistencies.,Process  check,PLM Variant Configuration,
TK1578,11/20/2020,SP_ABAP,I have inconsistent values in VBEP.,I have inconsistent values in VBEP.,Process  check,SAP ERP,
TK1579,11/21/2020,SP_ABAP,Inconsistant value assignment.,Inconsistant value assignment.,Process  check,PLM Variant Configuration,
TK1580,11/22/2020,SP_ABAP,"Inconsistency of values in MR11 Dear All, Below error occurred when I am trying to do GR/IR maintenance in MR11 for delivery charges.","Inconsistency of values in MR11 Dear All, Below error occurred when I am trying to do GR/IR maintenance in MR11 for delivery charges.",Process  check,MM(Material Management),
TK1581,11/23/2020,SP_ABAP, I'm facing an inconsistency between the vluae in a purchase order and the GR value., I'm facing an inconsistency between the vluae in a purchase order and the GR value.,Process  check,MM(Material Management),
TK1582,11/24/2020,SP_ABAP,How to delete wrong hours entered by mistake for one worker in confirmation.,How to delete wrong hours entered by mistake for one worker in confirmation.,Process  check,MAN Production Planning PP,
TK1583,11/25/2020,SP_ABAP,Wrong Material code delete Created almost 100 wrong material code ( Code not as per codification rule).. we want to delete the same permanently.,Wrong Material code delete Created almost 100 wrong material code ( Code not as per codification rule).. we want to delete the same permanently.,Process  check,MM(Material Management),
TK1584,11/26/2020,SP_ABAP,LSMW deletes all the records if one or more are wrong,LSMW deletes all the records if one or more are wrong,Process  check,ABAP,
TK1585,11/27/2020,SP_ABAP,Modify or Delete wrong houe banks in bank account.,Modify or Delete wrong houe banks in bank account.,Process  check,SAP S/4 HANA,
TK1586,11/28/2020,SP_ABAP, May I know what is the difference between sap memory & abap memory.Illustrate this with an example program., May I know what is the difference between sap memory & abap memory.Illustrate this with an example program.,Process  check,ABAP,
TK1587,11/29/2020,SP_ABAP,"My issue is an ""Out of Memory"" on client side (web browser).","My issue is an ""Out of Memory"" on client side (web browser).",Process  check,SAP HANA,
TK1588,11/30/2020,SP_ABAP, I have never used the memory concept. Can somebody please explain how it can be used., I have never used the memory concept. Can somebody please explain how it can be used.,Process  check,ABAP development,
TK1589,12/1/2020,SP_ABAP, Could you help me regarding Zero adminstrator memory in memory management, Could you help me regarding Zero adminstrator memory in memory management,Process  check,Available Memory,
TK1590,12/2/2020,SP_ABAP,Customer satisfaction report failure,Customer satisfaction report failure,Process  check,Windows Server,
TK1591,12/3/2020,SP_ABAP,Is crystal report support Visual Studio 2022?,Is crystal report support Visual Studio 2022?,Process  check,SAP Crystal Report,
TK1592,12/4/2020,SP_ABAP,How to use group reporting API Reported Financial Data for Group Reporting - Bulk Import,How to use group reporting API Reported Financial Data for Group Reporting - Bulk Import,Process  check,SAP Group reporting data collection,
TK1593,12/5/2020,SP_ABAP,"We see Crystal Reports and other BO components, but nothing about the runtime.","We see Crystal Reports and other BO components, but nothing about the runtime.",Process  check,SAP Crystal Report,
TK1594,12/6/2020,SP_ABAP,Load Report Failed My Application (WEBAPI with Crystal Reports in Visual Studio 2019) runs fine in my local machine.,Load Report Failed My Application (WEBAPI with Crystal Reports in Visual Studio 2019) runs fine in my local machine.,Process  check,SAP Group reporting data collection,
TK1595,12/7/2020,SP_ABAP,I would like to use an excel report to generate a crystal report.,I would like to use an excel report to generate a crystal report.,Process  check,SAP Crystal Report,
TK1596,12/8/2020,SP_ABAP,difference between customer exit and user exit?,difference between customer exit and user exit?,Process  check,ABAP,
TK1597,12/9/2020,SP_ABAP,Problem in Screen Exit,Problem in Screen Exit,Process  check,ABAP,
TK1598,12/10/2020,SP_ABAP," What are Post-exit,pre-exit and overwrite exits in a class context?"," What are Post-exit,pre-exit and overwrite exits in a class context?",Process  check,ABAP,
TK1599,12/11/2020,SP_ABAP,"I am new here, is there any membership here?","I am new here, is there any membership here?",Process  check,SAP business application studio,
TK1600,12/12/2020,SP_ABAP,When I'm trying to create a new membership I'm getting the below error on WEB UI,When I'm trying to create a new membership I'm getting the below error on WEB UI,Process  check,SAP CRM(Customer Relationship Management),
TK1601,12/13/2020,SP_ABAP,my client wants to mantain club membership fees pls let me know the steps for configuration and calculation in sap.,my client wants to mantain club membership fees pls let me know the steps for configuration and calculation in sap.,Process  check,HCM(Human Capital Management),
TK1602,12/14/2020,SP_ABAP,I am testing subscription function on EP 7 - KM.,I am testing subscription function on EP 7 - KM.,Process  check,HCM(Human Capital Management),
TK1603,12/15/2020,SP_ABAP, How to create Subscription in a KM Subscription iView in SAP Netweaver Portal 7.3?, How to create Subscription in a KM Subscription iView in SAP Netweaver Portal 7.3?,Process  check,PORTAL knowledge Management and collaboration,
TK1604,12/16/2020,SP_ABAP, I have a question about subscription management; Is't true if I say that each user can manage the owner subscription events, I have a question about subscription management; Is't true if I say that each user can manage the owner subscription events,Process  check,PORTAL knowledge Management and collaboration,
TK1605,12/17/2020,SP_ABAP,Subscription problem how to give subscription for the folder in EP 7.0?,Subscription problem how to give subscription for the folder in EP 7.0?,Process  check,PORTAL knowledge Management and collaboration,
TK1606,12/18/2020,SP_ABAP,How to activate subscription for Report scheduler task?,How to activate subscription for Report scheduler task?,Process  check,PORTAL knowledge Management and collaboration,
TK1607,12/4/2020,SAP_ECC_BW,SAP on Linux Suse -vs- Oracle Linux -vs- Linux Red Hat,"We are planning on replatforming our ECC and BW SAP environments based on some version of Linux. We are running Oracle on the backend.

I am curious if anyone out there would know why we might use Linux Suse over Oracle Linux and vice-versa. Is there a technical argument to be made for using Linux Red Hat above all else?

Are the technical advantages for one over the other? Are more SAP shops using one more than the other?",,"I’m referring to the aspect of FC where the storage array vendor will have a simple list of supported attached operating systems--this will probably include at least Red Hat and Suse nowadays--and then a more detailed matrix listing operating system, attached server vendor, model and FC adapter model, etc. and then the server hardware vendor will also have a list of supported storage arrays and then a more detailed matrix for the same things OS, server, HBA. Getting your combination to appear in both the storage and server vendors matrix may be most likely with Red Hat, followed by Suse and Oracle Linux.",
TK1608,12/5/2020,SAP_ECC,Linux Redhat or SUSE,"Could anyone tell me what are the diffences between running SAP ECC on Linux Redhat or SUSE?

are there any pros/cons about running one or another?

Same doubt for S4HANA",,"I am happy to provide some input and newer information. Most SUSE vs. RHEL related information is outdated (<2018) as a lot of new features, products and additions had been added since then by Red Hat.

A good summary of supported and certified versions is: https://wiki.scn.sap.com/wiki/display/ATopics/Technical+Resources+for+SAP+HANA+and+Data+Hub+on+Red+Hat

Apart form Linux, there are additonal supported or certified products to virtualize, to integrate with and to run e.g. SAP Business Apps. It's also a lot of Automation for initial Deployments as well as Day2 operations. Most is done through Ansible.

Compared to SLES, Red Hat Linux (RHEL) for SAP Solutions subscriptions include supported Ansible roles, as well as smart Management, HA etc. This works cloud agnostic in cloud and on prem. Red Hat is adding more Day2 Automation support into their products.

See https://redhat-sap.github.io/sap-workshops/#/ for some good examples of Automation. Also, there is a SAP Linux Lab initiative on that topics: https://sap-linuxlab.github.io/

If you would like to get a detailed technical overview of the current RHEL releases 8 and 9, look here:
https://access.redhat.com/solutions/3082481

RHEL is certified to run SAP in all major hyperscalers, private cloud and on prem on x86 and IBM Power. For IBM Cloud, RHEL is the exclusive option.",
